SiteID,Site Name,LabID,C14Age,C14SD
1,Cattleyards,NZ7330,407,60
2,Mangakaware,NZ1125,286,83
3,Mt Roskill,NZ4471,305,56
3,Mt Roskill,NZ4472,288,45
4,Paterangi,NZ4181,271,92
5,Pouerua,NZ6999,270,50
5,Pouerua,NZ7001,250,50
6,Pouerua,NZ7002,504,52
7,Pouerua,NZ7015,345,40
7,Pouerua,NZ7027,320,50
8,Pouto,NZ6550,456,33
9,Stone Walls,NZ7311,250,50
10,Taylors Hill,NZ7770,396,46
11,Athenree,NZ5184,827,56
12,Athenree,NZ5185,665,55
13,Athenree,NZ5186,668,55
14,Cummings,NZ6941,586,50
15,Donalds,NZ7380,782,65
15,Donalds,NZ7371,773,65
16,Koutunui,NZ5183,635,55
17,Lake Repongaere,NZ6959,781,53
18,Mangatawa,NZ6752,585,28
19,Mangatawa,NZ6766,779,32
20,Maraetaha,NZ6961,624,64
21,Maraetaha,NZ7372,634,64
22,Maraetaha,NZ7385,647,57
23,Matakana,NZ6241,581,54
24,Matakana,NZ6214,869,55
25,Oikemoke,NZ6202,716,55
26,Opotiki,NZ5427,558,32
27,Opouriao,NZ6792,641,50
28,Opouriao,NZ6794,631,50
29,Opouriao,NZ6826,567,41
30,Papamoa,NZ7045,602,48
31,Papamoa,NZ6784,763,31
32,Papamoa,NZ7046,616,48
33,Pouto,NZ6217,584,54
34,Pouto,NZ6242,576,44
35,Pouto,NZ6256,643,55
36,Puketoki,NZ6215,639,54
37,Rangihoua,NZ6916,661,30
38,Ruahihi,NZ4602,711,40
38,Ruahihi,NZ4603,714,32
38,Ruahihi,NZ4604,796,33
38,Ruahihi,NZ4700,639,27
39,Ruarangi,NZ1895,694,64
40,Ruatoki,NZ6791,777,33
41,Tangihau,NZ4892,611,55
42,Tapui,NZ6925,626,32
42,Tapui,NZ6933,685,27
43,Tauhara,NZ6243,739,55
44,Taurere,NZ7753,670,50
45,Tauwhare,Wk1765,670,45
46,Te Kararoa,NZ7386,778,65
47,Te Kura,NZ662,684,32
47,Te Kura,NZ6688,747,28
48,Te Puna,NZ6237,683,28
49,Te Puna,NZ6207,590,32
50,Te Puna,NZ6216,807,56
51,Tirikohua,NZ4896,654,32
52,Tolaga,NZ6578,799,28
53,Wairoa,NZ6206,708,52
54,Waimana,NZ6796,723,51
55,Waimana,NZ6805,637,50
56,Wharo,NZ6692,599,32
